measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,414,Stomach cancer,1,Number,1981,831134.1638191256,918099.4596785057,753308.8098988244
1,Deaths,1,Global,1,Male,22,All ages,417,Liver cancer,1,Number,1981,139397.27382662002,163428.16861191523,112283.9466452265
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,1,Number,1981,65575.83533593384,79784.07640703655,56291.746922495775
1,Deaths,1,Global,3,Both,22,All ages,417,Liver cancer,1,Number,1981,204973.10916255385,237281.5633921214,173472.70640537806
1,Deaths,1,Global,1,Male,22,All ages,423,Larynx cancer,1,Number,1981,62818.52978560066,67702.08165838497,58517.78919982548
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,1,Number,1981,9016.926375334553,10414.335966503619,6725.1777108738615
1,Deaths,1,Global,3,Both,22,All ages,423,Larynx cancer,1,Number,1981,71835.45616093517,77405.479863891,66727.73583269858
1,Deaths,1,Global,1,Male,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1981,644506.8759424385,718680.4417936793,599243.3282781004
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1981,202205.53057153706,225818.54171865937,183612.50509734475
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1981,846712.4065139749,920404.3789249659,798425.0860463998
1,Deaths,1,Global,1,Male,22,All ages,429,Breast cancer,1,Number,1981,3976.5092676290305,4868.237736757586,3302.548085675742
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,1,Number,1981,283315.4895557988,299709.4165324025,267055.75045941933
1,Deaths,1,Global,3,Both,22,All ages,429,Breast cancer,1,Number,1981,287291.9988234274,303561.13600157143,271315.22286669916
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,1,Number,1981,200683.3716487007,224095.47852448837,182781.05548735792
1,Deaths,1,Global,3,Both,22,All ages,432,Cervical cancer,1,Number,1981,200683.3716487007,224095.47852448837,182781.05548735792
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,1,Number,1981,49779.978726961635,54878.806616900976,44117.89902327512
1,Deaths,1,Global,3,Both,22,All ages,435,Uterine cancer,1,Number,1981,49779.978726961635,54878.806616900976,44117.89902327512
1,Deaths,1,Global,1,Male,22,All ages,438,Prostate cancer,1,Number,1981,154032.61145947373,164272.66988532993,140302.33013957503
1,Deaths,1,Global,3,Both,22,All ages,438,Prostate cancer,1,Number,1981,154032.61145947373,164272.66988532993,140302.33013957503
1,Deaths,1,Global,1,Male,22,All ages,441,Colon and rectum cancer,1,Number,1981,231114.42850094274,256791.663176457,210223.98686893767
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,1,Number,1981,238738.28920519163,261706.82341774803,213438.2869135353
1,Deaths,1,Global,3,Both,22,All ages,441,Colon and rectum cancer,1,Number,1981,469852.7177061341,502733.5498836151,432622.48888359877
